Date,Opponent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone
2/1/20,New Hampshire Wildcats,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1/31/20,New Hampshire Wildcats,0,0,0,1,2,0,1,2,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0
1/26/20,Yale Bulldogs,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1/25/20,Quinnipiac Bobcats,0,0,0,2,2,0,1,3,0,2,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0
1/18/20,Northeastern Huskies,0,0,0,2,3,1,2,2,0,5,5,0,1,3,0,1,1,0,0,0,0,2,4,0,0,0,0
1/15/20,Maine Black Bears,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1/11/20,Providence Friars,0,0,0,0,0,0,0,1,0,0,1,0,4,4,1,0,0,0,2,6,0,0,0,0,0,0,0
1/7/20,Merrimack Warriors,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
1/3/20,Northeastern Huskies,0,0,0,1,1,0,0,1,0,0,1,0,2,2,0,0,1,0,2,5,0,0,0,0,0,0,0
12/29/19,Dartmouth Big Green,0,0,0,1,1,0,2,3,0,1,2,0,2,3,0,0,1,0,1,5,0,0,3,0,0,0,0
12/28/19,St. Lawrence Saints,0,0,0,0,0,0,2,3,0,1,2,0,0,0,0,2,2,0,2,3,0,0,0,0,0,0,0
12/7/19,Vermont Catamounts,0,0,0,0,0,0,2,3,0,1,2,1,1,1,0,0,1,0,3,5,1,0,1,0,0,0,0
12/6/19,Vermont Catamounts,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,4,0,0,1,0,0,0,0
11/30/19,Miami RedHawks,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
11/29/19,Miami RedHawks,0,0,0,1,2,0,3,3,0,1,2,1,1,1,0,0,2,0,1,5,0,2,2,0,0,0,0
11/23/19,Providence Friars,0,0,0,1,1,1,1,2,0,1,3,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0
11/22/19,Providence Friars,0,0,0,0,2,0,0,2,0,0,0,0,2,3,0,0,1,0,1,3,0,0,1,0,0,0,0
11/16/19,UMass-Lowell River Hawks,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
11/15/19,UMass-Lowell River Hawks,0,0,0,1,2,1,2,3,1,0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0
11/9/19,Boston College Eagles,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0
11/8/19,Boston College Eagles,0,0,0,1,2,0,0,0,0,1,2,0,0,1,0,1,1,0,3,3,0,0,0,0,0,1,0
11/3/19,Merrimack Warriors,0,0,0,0,0,0,0,1,0,2,4,1,0,1,0,1,2,0,1,3,0,0,0,0,0,0,0
11/1/19,Merrimack Warriors,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
10/18/19,RPI Engineers,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0
10/11/19,Army West Point Black Knights,0,0,0,0,0,0,1,3,0,2,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10/5/19,Sacred Heart Pioneers,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0
