Date,Opponent,Team_Total_UConn_Score,Team_Total_Opponent_Score,Home,Win,Team_Score_On_PP,Team_PP_Faceoffs_won_in_OZ_percent,Team_PP_Faceoffs_won_percent,Team_Shots_OT_Behind_Net,Team_Shots_Behind_Net,Team_Goals_Behind_Net,Team_Shots_OT_at_Net,Team_Shots_at_Net,Team_Goals_at_Net,Team_Shots_OT_Left_Close,Team_Shots_Left_Close,Team_Goals_Left_Close,Team_Shots_OT_Center_Close,Team_Shots_Center_Close,Team_Goals_Center_Close,Team_Shots_OT_Right_Close,Team_Shots_Right_Close,Team_Goals_Right_Close,Team_Shots_OT_Left_Far,Team_Shots_Left_Far,Team_Goals_Left_Far,Team_Shots_OT_Center_Far,Team_Shots_Center_Far,Team_Goals_Center_Far,Team_Shots_OT_Right_Far,Team_Shots_Right_Far,Team_Goals_Right_Far,Team_Shots_OT_Not_in_Offensive_Zone,Team_Shots_Not_in_Offensive_Zone,Team_Goals_Not_in_Offensive_Zone,Team_PP_OZ_possession_percent,Team_PP_NZ_possession_percent,Team_PP_DZ_possession_percent
2021-10-08,Boston University Terriers,1.0,2.0,1,0,0,80.0,66.7,0,0,0,2,2,0,0,2,0,2,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,43.4,9.64,13.2
2021-03-14,Providence Friars,1.0,6.0,1,0,0,63.6,58.3,0,0,0,2,2,0,1,1,0,1,2,0,0,1,0,0,1,0,1,7,0,0,2,0,0,0,0,58.13,9.17,14.17
2021-03-05,Providence Friars,5.0,3.0,1,1,1,66.7,71.4,1,1,0,3,3,3,0,0,0,2,3,0,3,4,0,0,0,0,1,2,0,0,0,0,0,0,0,78.28,5.33,5.33
2021-02-27,Maine Black Bears,4.0,2.0,1,1,1,83.3,75.0,0,0,0,2,3,1,0,1,0,1,3,0,3,3,0,1,1,0,0,1,0,0,1,0,0,0,0,52.12,8.98,11.97
2021-02-26,Maine Black Bears,4.0,6.0,1,0,0,33.3,33.3,0,0,0,0,0,0,1,1,0,1,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,34.25,15.41,15.07
2021-02-20,Boston University Terriers,2.0,3.0,1,0,0,66.7,75.0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,39.81,8.53,20.62
2021-02-12,Providence Friars,0.0,4.0,0,0,0,50.0,57.1,0,0,0,0,1,0,3,4,0,2,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,41.74,12.61,16.34
2021-02-09,UMass-Lowell River Hawks,2.0,3.0,0,0,0,50.0,50.0,1,1,0,1,1,0,1,3,0,2,5,0,0,0,0,1,1,0,0,2,0,1,1,0,0,0,0,58.61,9.17,14.72
2021-02-05,Northeastern Huskies,4.0,1.0,0,1,0,100.0,100.0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.5,11.67,22.5
2021-01-30,Merrimack Warriors,6.0,2.0,1,1,1,66.7,75.0,0,0,0,4,4,2,1,2,0,0,1,0,0,2,0,0,1,0,0,2,0,1,3,0,0,0,0,60.39,7.58,13.85
2021-01-29,Merrimack Warriors,6.0,1.0,0,1,1,50.0,57.1,0,0,0,4,5,0,2,3,0,3,4,1,1,3,0,1,1,0,0,2,0,0,0,0,0,0,0,76.94,9.81,16.35
2021-01-23,Boston College Eagles,2.0,4.0,1,0,1,66.7,60.0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,2,2,0,2,2,1,0,0,0,53.45,2.3,12.64
